Ano,Jan,Fev,Mar,Abr,Mai,Jun,Ago,Set,Out,Nov,Dez
1999,4.3,4.4,4.2,4.3,4.2,4.3,4.3,4.2,4.2,4.1,4.1,4
2000,4,4.1,4,3.8,4,4,4,4.1,3.9,3.9,3.9,3.9
2001,4.2,4.2,4.3,4.4,4.3,4.5,4.6,4.9,5,5.3,5.5,5.7
2002,5.7,5.7,5.7,5.9,5.8,5.8,5.8,5.7,5.7,5.7,5.9,6
2003,5.8,5.9,5.9,6,6.1,6.3,6.2,6.1,6.1,6,5.8,5.7
2004,5.7,5.6,5.8,5.6,5.6,5.6,5.5,5.4,5.4,5.5,5.4,5.4
2005,5.2,5.4,5.2,5.2,5.1,5.1,5,4.9,5,5,5,4.8
2006,4.7,4.8,4.7,4.7,4.7,4.6,4.7,4.7,4.5,4.4,4.5,4.4
2007,4.6,4.5,4.4,4.5,4.5,4.6,4.7,4.7,4.7,4.8,4.7,4.9
2008,4.9,4.8,5.1,5,5.5,5.6,5.8,6.2,6.2,6.6,6.8,7.2
2009,7.6,8.1,8.5,8.9,9.4,9.5,9.4,9.7,9.8
