Dose Alta,Controle
16.1,297.1
134.9,491.8
52.7,1332.9
14.4,1172
124.3,1482.7
99,335.4
24.3,528.9
16.3,24.1
15.2,545.2
47.7,92.9
12.9,337.1
72.7,102.3
126.7,255.1
46.4,100.5
60.3,159.9
23.5,168
43.6,95.2
79.4,132.5
38,442.6
58.2,15.8
26.5,175.6
25.1,131.1
820.1,166.5
82.5,2258.4
713.9,497.5
785.6,263.4
114,252.3
31.9,351.4
86.3,678.9
646.6,3010.2
169.9,67.1
20.2,318.2
280.2,2476.4
194.2,181.4
408.4,2081.5
155.5,424.3
864.6,188.1
355.4,563
634,149.1
2029.9,2122.9
362.1,1295.9


