Ano,1,2,3,4,5,6,7,8,9,10,11,12
2000,12.28,12.63,13.22,14.3,15.3,15.9,16.2,16.02,15.4,14.3,13.1,12.47
2001,12.44,12.5,13.3,14.22,15.4,15.99,16.3,16.17,15.5,14.52,13.52,12.7
2002,12.71,12.88,13.4,14.2,15.26,16.1,16.4,16.06,15.5,14.45,13.5,12.56
2003,12.6,12.62,13.2,14.21,15.4,16.02,16.28,16.19,15.6,14.7,13.4,12.9
2004,12.6,12.77,13.3,14.28,15.15,16,16.3,16.1,15.48,14.59,13.58,12.71
2005,12.6,12.5,13.4,14.4,15.4,16.2,16.4,16.2,15.7,14.6,13.6,12.8
2006,12.4,12.6,13.2,14.2,15.3,16.1,16.4,16.2,15.6,14.6,13.5,12.9
2007,12.8,12.7,13.3,14.4,15.3,16,16.3,16.1,15.5,14.5,13.4,12.6
2008,12.2,12.4,13.4,14.1,15.2,16,16.3,16.1,15.5,14.6,13.5,12.7
2009,12.5,12.6,13.2,14.3,15.3,16.1,16.4,16.2,15.6



