Mes,1962,1963,1964,1965,1966,1967,1968,1969
1,2.851,2.541,3.113,5.375,3.633,4.016,2.639,3.934
2,2.672,2.475,3.006,3.088,4.292,3.957,2.899,3.162
3,2.755,3.031,4.047,3.718,4.154,4.51,3.37,4.286
4,2.721,3.266,3.523,4.514,4.121,4.276,3.74,4.676
5,2.946,3.776,3.937,4.52,4.647,4.968,2.927,5.01
6,3.036,3.23,3.986,4.539,4.753,4.677,3.986,4.874
7,2.282,3.028,3.26,3.663,3.965,3.523,4.217,4.633
8,2.212,1.759,1.573,1.643,1.723,1.821,1.738,1.659
9,2.922,3.595,3.528,4.739,5.048,5.222,5.221,5.591
10,4.301,4.474,5.211,5.428,6.922,6.873,6.424,6.981
11,5.764,6.838,7.614,8.314,9.858,10.803,9.842,9.851
12,7.132,8.357,9.254,10.651,11.331,13.916,13.076,12.67
